py_time,c_time,py_cnot,c_cnot,speedup
0.054652610000630375,0.02339420500356937,5,5,2.3361601726706147
0.003371555998455733,0.013600318001408596,5,5,0.24790273272334798
0.06346187199960696,0.04595588200027123,5,5,1.3809303453088422
0.6797103569988394,0.037199178004811984,6,6,18.272187544329984
0.984868445993925,0.03741810700012138,6,6,26.320637919783866
0.04429866099962965,0.05740580199926626,6,6,0.7716756748768331
0.014108793002378661,0.05363908800063655,5,5,0.26303193302263506
0.038445569000032265,0.038301224005408585,6,6,1.0037686783744377
0.014457964003668167,0.02798882399656577,5,5,0.5165620393855118
0.06418739500077209,0.059008839998568874,6,6,1.0877589697124839
0.0534836489969166,0.044200427997566294,5,5,1.2100255906992903
0.0460831180025707,0.04748793099861359,5,5,0.9704174731031363
0.0392518820008263,0.05032415899768239,5,5,0.7799808835878209
0.015533329002209939,0.028627846004383173,5,5,0.542595101281167
0.00356597999780206,0.005944743003055919,5,5,0.5998543580385146
0.039939334004884586,0.04333965700061526,4,4,0.9215424571615229
0.03947858500032453,0.030571990995667875,5,5,1.291331827420685
0.07012328000564594,0.045541660001617856,5,5,1.5397611769785033
0.6298854440028663,0.03539124500093749,6,6,17.797775805462088
0.6505695079977158,0.059447707993967924,6,6,10.943559137111363
0.04488336199574405,0.05081549000169616,5,5,0.8832614227324365
0.6257978170033311,0.05628128499665763,6,6,11.119110323093997
0.003245180007070303,0.021105437001097016,6,6,0.15376037970223622
0.05945242600137135,0.05583708300400758,6,6,1.0647480635244553
0.015407498001877684,0.03561309900396736,4,4,0.4326356995823717
0.003105489995505195,0.005125305004185066,4,4,0.6059132076958168
0.06463072400219971,0.05809362300351495,6,6,1.1125269979854628
0.05225548799353419,0.05532504999428056,6,6,0.9445176822964697
1.1236021199947572,0.06175111199991079,7,7,18.19565807975054
0.04124571200372884,0.028037482006766368,5,5,1.4710918760028056
0.03990224900189787,0.016883985997992568,4,4,2.363319242662371
0.04097987699788064,0.02830925099988235,5,5,1.4475789909825216
0.8923661640001228,0.06129252699611243,6,6,14.559134820085367
0.04623179600457661,0.0362378659992828,6,6,1.275786935287293
0.05003033699904336,0.04872974700265331,5,5,1.0266898573538505
0.0540595200000098,0.042196522997983266,6,6,1.2811368368572338
0.040772385997115634,0.029852348001440987,5,5,1.3658016446527936
1.1412781379985972,0.06610164400626672,7,7,17.265503077206358
1.1498898830031976,0.0438488240033621,7,7,26.2239617398868
1.0904970980045618,0.06280184099887265,7,7,17.364094438316503
0.006706655003654305,0.02599329199438216,7,7,0.2580148372550807
0.04575808200024767,0.028603840997675434,5,5,1.599718093942919
0.05207351999706589,0.04130541999620618,5,5,1.2606946013827902
0.012528898994787596,0.056620253999426495,5,5,0.2212794558448025
0.039704498994979076,0.02907422800490167,5,5,1.365625219293363
0.006646861998888198,0.025107562003540806,7,7,0.26473546089225314
0.03831908299616771,0.026377950998721644,5,5,1.4526936909551758
0.03876853200199548,0.028775620994565543,5,5,1.3472700383882996
0.039144512003986165,0.048455493997607846,5,5,0.807844658562735
0.04431002199999057,0.056549744003859814,6,6,0.7835583127832759
0.6856648219982162,0.06233031299780123,6,6,11.00050343117006
0.0032622920043650083,0.00828541599912569,6,6,0.3937390717266651
0.05417044000205351,0.05757542400533566,6,6,0.9408604615231908
0.014895660999172833,0.04464037800062215,5,5,0.33368133663575233
0.04253802199673373,0.03406196599826217,6,6,1.248842242368042
0.05452657400019234,0.028055998001946136,5,5,1.943490799949802
0.018030163999355864,0.03677572799642803,4,4,0.49027347605755367
1.082426580003812,0.05999543900543358,7,7,18.041814477026833
0.04586657400068361,0.053099343000212684,5,5,0.8637879756911474
0.6320120689997566,0.05987523500516545,6,6,10.555483731215965
0.003221316001145169,0.010052902005554643,4,4,0.320436427149619
0.015849882001930382,0.021290312994096894,4,4,0.74446448985156
0.6479015049990267,0.05570856400299817,6,6,11.63019576243533
0.05144819999986794,0.0590052330007893,6,6,0.8719260544091018
0.044834710999566596,0.05642337699828204,6,6,0.7946123288744612
0.040929433998826426,0.02904034099628916,5,5,1.4093992217259599
0.013262396998470649,0.04384369600302307,5,5,0.30249267756888454
1.1054916130015044,0.04166466499736998,7,7,26.53307336255522
0.06380592299683485,0.04587051199632697,5,5,1.391000889677099
0.05829103100404609,0.027493642002809793,5,5,2.120164036401175
0.045695756998611614,0.05353480199846672,5,5,0.8535710471091381
0.06758717299817363,0.02802679500018712,5,5,2.411519868672903
0.611416530002316,0.03262440600519767,6,6,18.741077765673527
0.0640779610039317,0.03401268200104823,6,6,1.8839432010082855
0.05083917699812446,0.02109824900253443,5,5,2.4096396336974406
0.03794069799914723,0.01568897299875971,4,4,2.418303479912078
0.5875187729980098,0.04048827000224264,6,6,14.510839138483002
0.04288295099831885,0.03625935399759328,4,4,1.182672780137374
0.03825393199804239,0.026961729003232904,5,5,1.4188233993990322
0.7001547100007883,0.05738886899780482,6,6,12.20018310567455
0.7192064810005832,0.0542970409951522,6,6,13.245776709356887
0.04603633499937132,0.020362041002954356,5,5,2.2608900057067878
0.014856991001579445,0.024811240000417456,5,5,0.5988008258083624
0.039973446997464634,0.028002008999465033,5,5,1.4275206824706153
0.635459819000971,0.036949518995243125,6,6,17.198053893009543
0.701602647000982,0.05806176400074037,6,6,12.083729440118898
0.05192697599704843,0.05126195699995151,5,5,1.0129729537461387
1.0702832809984102,0.04169286300020758,7,7,25.67065929228898
1.081919055999606,0.06145871699845884,7,7,17.603996777653794
0.06019247599761002,0.037305142999684904,6,6,1.6135168279107905
0.049062344995036256,0.043254513999272604,5,5,1.1342710958643836
1.1503108619945124,0.06039666600554483,7,7,19.045933129635102
0.06109441399894422,0.05743178800184978,6,6,1.0637734976486624
0.016264914003841113,0.02439847099594772,5,5,0.6666366104065502
0.642017575999489,0.03528913500485942,6,6,18.193066390294955
0.046535023997421376,0.060119531000964344,6,6,0.7740417003032664
0.04085218600084772,0.05687536299956264,6,6,0.7182756090921454
1.099750061002851,0.05974380800034851,7,7,18.40776639139634
1.0973757300016587,0.04141279099712847,7,7,26.49847314270004
0.015568526003335137,0.043911380002100486,5,5,0.354544220714321
