	name	initial_method	n_qubits	m_state	n_g2_initial	n_g_initial	time_initial	n_g2_qiskit	n_g_qiskit	time_qiskit	n_g2_pyzx	n_g_pyzx	time_pyzx	n_g2_date24	n_g_date24	time_date24	n_g2_ours	n_g_ours	time_ours
0	W	m_flow	3	3	4	4	0.001855091017	4	13	0.005471076991	4	16	0.00355848702	4	3	0.007131853985	4	4	0.0007434470172
1	W	m_flow	6	6	13	10	0.015234019	10	52	0.138099074	19	46	0.01233053399	13	9	1.419892426	13	10	0.003027667
2	W	m_flow	9	9	22	16	0.124990733	16	88	0.14601874	34	76	1.065445837	22	15	1.506443613	22	16	0.00654396601
2	Dicke-Dense	m_flow	3	3	4	4	0.001761574997	4	13	0.004275866988	4	16	0.003116542997	4	3	0.009283339023	4	4	0.0007825389912
3	Dicke-Dense	m_flow	4	6	14	14	0.01222740702	13	47	0.02512036101	16	53	0.01008219999	6	4	1.051267117	12	15	0.003327757993
4	Dicke-Dense	m_flow	5	10	27	26	0.047735503	27	95	0.01509907501	29	105	0.020509772	31	24	46.88461705	21	23	0.008727078006
5	Dicke-Dense	m_flow	6	20	62	60	0.985075957	62	232	0.036055762	62	276	0.09260630602	64	61	0.01459630902	34	27	0.05801197101
6	Dicke-Dense	m_flow	7	35	126	96	8.174865255	126	379	0.065883214	126	475	0.511918144	128	97	0.03146568901	67	65	0.177979588
7	Dicke-Sparse	m_flow	3	3	4	5	0.001791532006	3	18	0.034985406	6	16	0.003584466001	4	3	0.007341082994	4	5	0.00079477299
8	Dicke-Sparse	m_flow	4	6	14	14	0.01108016001	13	47	0.02423800502	16	53	0.009187340009	6	4	1.014527229	12	15	0.003235715994
9	Dicke-Sparse	m_flow	5	10	27	26	0.05058774899	27	95	0.01482241901	29	105	0.02154392799	31	24	46.57105908	21	23	0.009506085014
10	Dicke-Sparse	m_flow	6	15	50	44	0.263308006	50	167	0.02599300901	48	193	0.05127835699	65	62	0.203309509	44	41	0.026051238
11	Dicke-Sparse	m_flow	7	21	76	66	1.447443707	76	255	0.036789709	72	301	0.253766454	129	129	0.228257449	70	63	0.05084371701
12	Dicke-Sparse	m_flow	8	28	107	92	7.766172632	107	359	0.05255705502	107	429	1.384374813	92	76	38.12564752	101	89	0.09771151899
13	Dicke-Sparse	m_flow	9	36	143	122	51.02159621	141	477	0.137387453	147	577	6.20837346	128	106	38.58791794	137	119	0.194028266
14	Dicke-Sparse	m_flow	10	45	184	156	309.8484764	182	609	0.09300816501	186	745	30.98738031	169	140	47.54370846	178	153	0.423426478
0	Cyclic-Sparse	n_flow	3	3	2	3	0.0007447389944	2	12	0.005382168019	2	15	0.003023030004	2	3	0.002125303989	1	3	0.0006118110032
1	Cyclic-Sparse	n_flow	4	7	6	7	0.001008701976	6	28	0.00653799501	6	35	0.006000441994	6	7	0.179184751	5	7	0.001752900018
2	Cyclic-Sparse	n_flow	5	15	14	15	0.001691656013	14	60	0.010503561	14	75	0.01231253502	16	18	0.246061038	13	15	0.00663218199
3	Cyclic-Sparse	n_flow	6	31	30	31	0.003507130983	30	124	0.07958912698	30	155	0.050307848	32	34	0.251954841	29	31	0.02749444701
4	Cyclic-Sparse	n_flow	7	63	62	63	0.007130911021	62	252	0.04950899101	62	315	0.269264006	64	66	0.288354303	61	63	0.09744341898
5	Cyclic-Sparse	n_flow	8	127	126	127	0.01718666701	126	508	0.209492161	126	635	1.769410124	128	130	0.32129059	125	127	0.380477143
6	Cyclic-Dense	n_flow	3	5	6	6	0.000897143007	6	23	0.006704767991	6	25	0.004522787	4	5	0.095088956	2	5	0.001404360024
7	Cyclic-Dense	n_flow	4	9	14	14	0.001618228998	14	55	0.00922831698	14	65	0.01037193701	6	7	4.556372456	3	7	0.003757840983
8	Cyclic-Dense	n_flow	5	17	30	30	0.002583980007	30	119	0.01712007698	30	145	0.02432629903	22	23	4.617798876	4	9	0.01151886699
9	Cyclic-Dense	n_flow	6	33	62	62	0.005149586999	62	247	0.03271621099	62	305	0.069657716	54	55	4.547449766	5	11	0.04202831001
10	Cyclic-Dense	n_flow	7	65	126	126	0.01097938998	126	503	0.07005275998	126	625	0.675230179	118	119	4.570442275	6	13	0.152156481
11	Random-Dense-Uniform	n_flow	3	4	6	7	0.000890441006	6	28	0.006364283996	6	35	0.00559121999	4	6	0.07703782798	3	6	0.001430498
12	Random-Dense-Uniform	n_flow	4	8	14	15	0.001467397	14	59	0.01002602	14	75	0.011440923	9	10	32.95152359	13	15	0.005287592008
13	Random-Dense-Uniform	n_flow	5	16	30	31	0.002958036988	30	124	0.01864551299	30	155	0.093447858	33	33	0.181044812	29	31	0.018317334
14	Random-Dense-Uniform	n_flow	6	32	62	56	0.004508699989	62	224	0.032754632	62	280	0.08936720301	64	58	0.015289028	61	56	0.06293964499
15	Random-Dense-Uniform	n_flow	7	64	126	121	0.008886751981	126	484	0.07415335998	126	605	0.541254055	128	123	0.03793945999	125	121	0.260477889
16	Random-Dense-Nonuniform	n_flow	3	4	6	7	0.0008315999876	6	28	0.006623394002	6	35	0.004894247017	5	5	0.083009911	3	5	0.001385633979
17	Random-Dense-Nonuniform	n_flow	4	8	14	15	0.001414318016	14	60	0.009801152017	14	75	0.01108495501	16	17	73.1980096	11	14	0.004758753988
18	Random-Dense-Nonuniform	n_flow	5	16	30	31	0.002279272012	30	124	0.01900872798	30	155	0.02709160899	33	33	0.203934551	29	31	0.016577373
19	Random-Dense-Nonuniform	n_flow	6	32	62	63	0.004304619972	62	252	0.043723323	62	315	0.096944911	64	65	0.01550989202	61	63	0.06077107301
20	Random-Dense-Nonuniform	n_flow	7	64	126	127	0.009718918998	126	508	0.08793307201	126	635	0.721049332	128	129	0.03794070598	125	127	0.303635655
21	Random-Sparse-Uniform	n_flow	3	3	4	5	0.0008656650025	3	21	0.01448277701	3	20	0.003716932988	3	3	0.002514961001	2	3	0.001075426
22	Random-Sparse-Uniform	n_flow	4	4	10	8	0.00124247701	9	30	0.01509992001	9	32	0.007175856997	3	2	0.002799370995	9	6	0.002642480016
23	Random-Sparse-Uniform	m_flow	5	5	10	10	0.008895132982	9	35	0.036984476	12	36	0.008153671981	10	7	1.502196163	10	10	0.002906641981
24	Random-Sparse-Uniform	m_flow	6	6	17	13	0.02700725102	16	46	0.04024948299	21	46	0.015241293	15	10	1.491331571	17	13	0.003787957015
25	Random-Sparse-Uniform	m_flow	7	7	23	18	0.054231888	22	63	0.03974680198	27	66	0.097710178	20	14	27.08820734	21	19	0.009483031987
26	Random-Sparse-Uniform	m_flow	8	8	25	19	0.152608906	24	62	0.03912638099	27	67	0.387651347	24	17	6.371628426	23	20	0.03514212399
27	Random-Sparse-Uniform	m_flow	9	9	32	22	0.878842703	30	76	0.024576044	34	85	1.390243241	32	19	1.49058413	32	22	0.019464579
28	Random-Sparse-Uniform	m_flow	10	10	44	25	1.108525171	39	102	0.06360306	48	106	6.52117594	40	22	0.09784524	41	26	0.01318470799
29	Random-Sparse-Uniform	m_flow	11	11	56	28	6.333152344	55	104	0.04243883101	60	117	32.14664066	56	25	0.04352329101	56	28	0.02685172798
30	Random-Sparse-Nonuniform	n_flow	3	3	4	5	0.0008287649835	3	21	0.013151472	3	17	0.00385928899	3	3	0.00276668102	2	3	0.001048075006
31	Random-Sparse-Nonuniform	n_flow	4	4	14	15	0.001355198008	14	60	0.009831637988	14	76	0.01091021401	5	6	0.07687351399	10	11	0.002911051008
32	Random-Sparse-Nonuniform	m_flow	5	5	11	8	0.007583648025	10	28	0.023637876	13	35	0.008233648987	10	7	0.083079192	10	8	0.002135413
33	Random-Sparse-Nonuniform	m_flow	6	6	18	14	0.023761455	18	39	0.009523452987	22	45	0.015615579	16	11	1.08687888	17	15	0.006550550985
34	Random-Sparse-Nonuniform	m_flow	7	7	19	14	0.02090746199	18	50	0.02716071601	21	55	0.09766846697	17	13	7.408598788	16	15	0.006042610999
35	Random-Sparse-Nonuniform	m_flow	8	8	28	16	0.160419703	26	61	0.020069908	32	66	0.348918826	28	13	1.577567261	28	16	0.006651937001
36	Random-Sparse-Nonuniform	m_flow	9	9	36	24	0.492011555	33	83	0.04581747099	42	84	1.261964827	35	20	0.11164074	35	25	0.02949920099
37	Random-Sparse-Nonuniform	m_flow	10	10	46	25	2.198820341	46	86	0.019932853	50	94	6.347178343	44	22	1.535876415	46	25	0.053829346
38	Random-Sparse-Nonuniform	m_flow	11	11	56	28	4.217009213	56	95	0.023581143	60	106	32.97051354	51	25	0.03406463101	56	28	0.096054102